Work Item Type,Title,Description,Acceptance Criteria,Priority,Story Points,Tags,Epic,Area Path,Iteration Path,State,Notes / BR Mapping
Epic,EPIC-01: Workday Data Integration,Integration with Workday to retrieve employee attributes and CV artifacts as the authoritative data source for the platform.,,1,,Workday;Integration;TalentAI,EPIC-01,DXC Talent AI,Sprint 1,New,BR-02
User Story,US-001: Candidate attributes from Workday,"As a Manager/Account Lead, I want the candidate's attributes (skills, certifications, languages, job level, location, service line, manager) to come from Workday, so that the application uses an authoritative dataset and reduces manual work.","- Candidate profile in the app shows attributes derived from Workday.
- Updated attributes are reflected in the app according to the agreed cadence.",1,3,Workday;EPIC-01;Must;TalentAI,EPIC-01,DXC Talent AI,Sprint 1,New,BR-02
User Story,US-002: Retrieve CV artifact from Workday,"As a Manager/Account Lead, I want the application to retrieve the CV artifact stored in Workday when available, so that CV generation can leverage Workday content.","- When a CV artifact exists for an employee in Workday, the system can retrieve it for processing.",1,2,CV;Workday;EPIC-01;Must;TalentAI,EPIC-01,DXC Talent AI,Sprint 1,New,BR-02
User Story,US-003: Show data source (Workday vs CV repository),"As a Manager/Account Lead, I want to see where the data comes from (Workday vs. CV repository) for paired attributes, so I can trust and explain why a candidate was matched.","- When matched via CV text, the system indicates source as 'derived from CV'.
- When matched via Workday, source is indicated as 'derived from Workday'.",1,2,DataSource;EPIC-01;Must;TalentAI,EPIC-01,DXC Talent AI,Sprint 2,New,BR-02
User Story,US-004: Integration with production quality data,"As a Product Owner, I want the integration to work with production quality data (not just UAT/simulated data), so that the solution can be deployed and used operationally.","- When the application runs a search with configured production connectivity, results are based on production data sources.",1,3,Production;EPIC-01;Must;TalentAI,EPIC-01,DXC Talent AI,Sprint 1,New,BR-02
Epic,EPIC-02: Integration with FDS / My Growth,Ingest FDS knowledge data from the My Growth platform via APIs to consolidate talent knowledge before enabling searches.,,1,,MyGrowth;FDS;Integration;TalentAI,EPIC-02,DXC Talent AI,Sprint 1,New,BR-07
User Story,US-005: Ingest My Growth knowledge data via API,"As a business owner, I want to absorb FDS knowledge data from My Growth via APIs, so that talent knowledge is consolidated and searchable.","- When My Growth provides a valid data payload and ingestion is executed, data is stored and linked to the correct employee IDs.",1,3,MyGrowth;FDS;API;EPIC-02;Must;TalentAI,EPIC-02,DXC Talent AI,Sprint 1,New,BR-07
Epic,EPIC-03: EQF / MECES Study Mapping and Maintenance,"Manage the mapping between employee academic qualifications and the European Qualifications Framework (EQF) levels and the Spanish equivalent MECES framework. The mapping table is pre-loaded automatically from official sources and can be maintained by an administrator. Employee study data from Workday is automatically identified and mapped to the corresponding EQF/MECES level, enriching the employee profile.

References:
- EQF: https://europass.europa.eu/en/european-qualifications-framework-eqf
- MECES (Spain): https://www.ciencia.gob.es/Universidades/MECES.html",,1,,EQF;MECES;Studies;Mapping;TalentAI,EPIC-03,DXC Talent AI,Sprint 2,New,BR-EQF
User Story,US-006: Pre-load EQF/MECES mapping table from official sources,"As a system administrator, I want the EQF/MECES mapping table to be pre-loaded automatically from the official frameworks on first setup, so that the platform starts with an up-to-date and authoritative qualification mapping without manual data entry.","- Given the system is initialised, when the EQF/MECES pre-load process runs, all standard qualification levels (EQF 1–8 and their MECES equivalents for Spain) are imported and stored in the mapping table.
- The pre-loaded entries include: qualification name, EQF level (1–8), MECES level (1–4), and the country/framework scope.
- The import process logs the source, version, and date of the loaded data.
- Pre-loaded entries are marked as 'Official' to distinguish them from administrator-added entries.",1,3,EQF;MECES;PreLoad;EPIC-03;Must;TalentAI,EPIC-03,DXC Talent AI,Sprint 2,New,BR-EQF
User Story,US-007: Administrator maintenance of EQF/MECES mapping table,"As an administrator, I want to add, edit, and deactivate entries in the EQF/MECES mapping table, so that the platform can accommodate new qualifications, institutional titles, or country-specific equivalences not covered by the standard pre-load.","- Given I have administrator role, when I access the EQF/MECES mapping management screen, I can view all existing entries with their EQF level, MECES level, scope, and status.
- I can add a new qualification entry providing: qualification name, EQF level (1–8), MECES level where applicable, country/framework scope, and a justification note.
- I can edit any existing entry; changes are saved with a timestamp and the editor's user ID for audit purposes.
- I can deactivate (soft-delete) an entry; deactivated entries are hidden from employee mapping but retained in the audit log.
- Official pre-loaded entries can be edited but are flagged as 'Modified from official source'.
- All changes are logged in an audit trail accessible to administrators.",1,3,EQF;MECES;Admin;Maintenance;EPIC-03;Must;TalentAI,EPIC-03,DXC Talent AI,Sprint 2,New,BR-EQF
User Story,US-008: Automatic identification and mapping of employee studies to EQF/MECES,"As a Manager/Account Lead, I want the system to automatically identify the academic qualifications of each employee from Workday and map them to their corresponding EQF and MECES level, so that the employee's education level is standardised and comparable across the organisation.","- Given an employee has education data in Workday (degree, institution, field of study), when the mapping process runs, the system matches the qualification against the EQF/MECES table and assigns the corresponding EQF level (1–8) and MECES level.
- The assigned EQF and MECES levels are stored as part of the employee's profile and are visible in search results and dashboards.
- When a qualification cannot be automatically matched, it is flagged as 'Pending mapping' and surfaced to the administrator for manual resolution.
- The mapping is re-evaluated automatically when the employee's education data in Workday is updated.
- The EQF/MECES level is available as a search and filter criterion in candidate searches.",1,5,EQF;MECES;AutoMapping;Employee;EPIC-03;Must;TalentAI,EPIC-03,DXC Talent AI,Sprint 3,New,BR-EQF
Epic,EPIC-04: Candidate Search & CV Search,"Search for internal candidates using multiple criteria (skills, certifications, languages, location, job level, service line, MECES/EQF level) and perform full-text metasearch on CV content stored in Workday. CV viewing and generation is covered in EPIC-05 (Resume / CV Generation).",,1,,CandidateSearch;CV;Metasearch;TalentAI,EPIC-04,DXC Talent AI,Sprint 3,New,BR-01;BR-03
User Story,"US-009: Search candidates with multiple criteria, certifications and impressiveness scoring","As a Manager/Account Lead, I want to search for internal candidates using multiple criteria — including one or several skills and/or certifications combined in a single query, together with other attributes such as languages, provider location, job level, service line, and MECES/EQF level — and I want results to include an impressiveness score per candidate based on certifications, industry experience, and seniority, in order to quickly identify the most suitable and most compelling profiles for a tender, agreement, or RFI response.","- When filters from at least two categories are applied, the result set updates to show matching candidates.
- Multiple skills and/or certifications can be selected simultaneously and the search returns only candidates who meet the combined requirements (based on the configured matching logic).
- Results also include candidates with potential to obtain the missing certifications and complete the requested profile.
- Adding or removing a skill/certification filter updates results without losing other applied filters.
- When opening a candidate's summary, the key attributes used in the selection are visible (location, job level, certifications, languages, EQF/MECES level).
- Each candidate is assigned an impressiveness score calculated from certifications (count and relevance), industry experience (years), and seniority/job level.
- The impressiveness score is shown as a sortable column and results can be ranked by it.
- Hovering or expanding a candidate row reveals the score breakdown by factor.
- Scoring weights per factor are configurable by an administrator; weights must sum to 100% and changes take effect on the next search.",1,8,Search;Skills;Certifications;ImpressivenessScore;ConfigurableWeights;EPIC-04;Must;TalentAI,EPIC-04,DXC Talent AI,Sprint 3,New,BR-01
User Story,US-010: Apply additional filters on top of search results,"As a Manager/Account Lead, after running a candidate search I want to apply additional filters on top of the obtained results — for example by city/location (e.g. Avilés, Madrid), but also by any other available attribute — so that I can progressively narrow the shortlist without having to re-run the original search from scratch.

Location is just one example of refinement; the same mechanism must work for any filterable attribute (provider, service line, job level, MECES/EQF level, language proficiency, certification status, etc.).","- Given a result set is displayed from an initial search, when I apply one or more additional filters, the result set is refined in place to show only candidates matching both the original criteria and the additional filters.
- Additional filters can be applied across any available attribute, including but not limited to city/location, provider, service line, job level, MECES/EQF level, language, and certification status.
- Applied additional filters are clearly listed and can be individually removed without re-running the original search.
- Example use case: after searching candidates with PMP certification, I can refine results to only those located in Madrid or Avilés, to comply with bidding restrictions requiring local presence.
- The refined result set count is shown alongside the original result count for transparency.",1,3,Filters;Refinement;Location;EPIC-04;Must;TalentAI,EPIC-04,DXC Talent AI,Sprint 3,New,BR-01
User Story,US-011: Define multiple positions in a single bid search session,"As a Manager/Account Lead, I want to define multiple positions in a single bid search session (e.g. Position 1 PM, Position 2 Developer), so that I can manage the different requirements of the roles efficiently.","- When Position A and Position B are created with different filters, the app stores and displays filter sets and results for each position separately.
- Results show candidates with potential to complete each position.",1,3,MultiPosition;EPIC-04;Must;TalentAI,EPIC-04,DXC Talent AI,Sprint 3,New,BR-01
User Story,US-012: Show triage attributes in search results,"As a Manager/Account Lead, I want the search results to show the attributes necessary for quick triage (certification/supplier, location, service line, position level, EQF/MECES level, manager), so that I can pre-screen without opening all profiles.","- Each result row includes the key attributes configured for triage, including EQF/MECES level.",1,2,Triage;EPIC-04;Must;TalentAI,EPIC-04,DXC Talent AI,Sprint 3,New,BR-01
User Story,"US-013: Export shortlist/search results to Excel, CSV, PDF or PPTX","As a Manager/Account Lead, I want to export the current shortlist/search results to Excel, CSV, PDF or PPTX, so that I can collaborate offline, deliver a client-ready document, or use the list in subsequent tendering/staffing processes.","- Clicking Export generates a file with visible candidates and key attributes.
- Export includes a summary of applied filters.
- Available formats: .xlsx, .csv, .pdf and .pptx.
- PDF and PPTX exports follow DXC branding and produce one page/slide per candidate with key attributes and CV summary.
- The export is generated within 60 seconds for shortlists of up to 10 candidates.",1,5,Export;Excel;CSV;PDF;PPTX;EPIC-04;Must;TalentAI,EPIC-04,DXC Talent AI,Sprint 3,New,BR-01
User Story,US-014: Identify skill gaps and suggest employees for retraining when criteria not met,"As a Manager/Account Lead, I want the tool to explicitly identify skills required by a search/RFI that are not covered by any available bench candidate, and to suggest employees for retraining or training to close those gaps, so that I can proactively address capability shortfalls before submitting a response.","- Each search result shows the option to suggest training to complete the employee's profile based on skills and certifications in the search.
- After running a search, the system displays a gap list of skills/certifications for which zero qualified candidates exist.
- Each gap entry shows the required skill, the number of candidates with partial match, and a suggested action (e.g. training, external hire).
- The gap list is exportable and feeds the skills coverage view (US-023).",1,5,Training;Retraining;GapIdentification;EPIC-04;Must;TalentAI,EPIC-04,DXC Talent AI,Sprint 4,New,BR-01
User Story,US-015: Full text search on employee resume content,"As a Manager/Account Lead, I want to search for full text on employee resume content, so I can find skills or experiences not updated in Workday.","- When a keyword exists on a resume but not in Workday, the candidate is returned using resume search.",1,3,FullText;CV;EPIC-04;Must;TalentAI,EPIC-04,DXC Talent AI,Sprint 4,New,BR-03
Epic,EPIC-05: Resume / CV Generation,"Generate, view and package candidate CVs in DXC standardized format. Includes individual CV generation, mass generation for shortlists, anonymization for tender requirements, and standardized/anonymized CV viewing from search results.",,1,,CV;Generation;Resume;TalentAI,EPIC-05,DXC Talent AI,Sprint 4,New,BR-03
User Story,US-016: View CV in standardized anonymized format from search,"As a Manager/Account Lead, I want to metasearch the most recent CV document stored in Workday and view it in a standardized, anonymized format to analyze whether it meets the profile or position requested in the tender.",- Each search result shows the option to view the CV in standardized and anonymized format to confirm match with tender requirements.,1,3,CV;Metasearch;EPIC-05;Must;TalentAI,EPIC-05,DXC Talent AI,Sprint 4,New,BR-01;BR-03
User Story,US-017: Generate standardized CV in DXC format with templates configurable by offering/client,"As a tender/tender contributor, I want to generate a standardized CV in DXC format for a selected candidate, using a CV template that can be configured per offering or per client, so that CVs delivered for specific accounts or service lines follow the correct branding and structure requirements.","- Clicking Generate Resume produces a resume document following the approved template structure.
- After generation, I can download the resume document.
- An admin screen allows uploading and activating multiple CV templates, each tagged with one or more offerings and/or client names.
- When generating a CV, the system selects the template matching the active offering/client context; if no specific template matches, the default DXC template is used.
- Template activation/deactivation is logged in the audit trail.",1,5,CV;Generation;Template;Configurable;Offering;Client;EPIC-05;Must;TalentAI,EPIC-05,DXC Talent AI,Sprint 4,New,BR-03
User Story,US-018: Mass generate standardized CVs for multiple candidates,"As a tender/tender contributor, I want to generate standardized CVs en masse for several selected candidates, so that I can prepare tender packages efficiently.","- When multiple candidates are selected and Generate CVs is clicked, the system produces CV results for each selected candidate.",1,3,CV;MassGeneration;EPIC-05;Must;TalentAI,EPIC-05,DXC Talent AI,Sprint 4,New,BR-03
User Story,US-019: Generate anonymized CV for tender requirements,"As a Tender collaborator, I want to generate an anonymized CV when required by a tender, to meet the client's requirements.","- When anonymization is required, the CV generated has personal identifiers removed or hidden according to agreed rules.",1,2,CV;Anonymized;EPIC-05;Must;TalentAI,EPIC-05,DXC Talent AI,Sprint 4,New,BR-03
Epic,EPIC-06: Certifications and Test Handling,Manage certification validity status and download certification test documents for bid submissions.,,1,,Certifications;TalentAI,EPIC-06,DXC Talent AI,Sprint 4,New,BR-04
User Story,US-020: View certification validity status,"As a Manager/Account Lead, I want to see if a certification is valid, expiring or expired, so that I can ensure compliance in bid submissions.","- Each certification shows its current status (valid/expired) based on available data.
- Certifications baseline displayed on reporting dashboards.",1,2,Certifications;Validity;EPIC-06;Must;TalentAI,EPIC-06,DXC Talent AI,Sprint 4,New,BR-04
User Story,US-021: Download certification test documents,"As a tender/tender partner, I want to download the certification test documents where stored, so that I can attach the proof requested by the customer.","- When there is evidence of certification for a candidate, clicking Download Tests downloads the test document.",1,2,Certifications;Download;EPIC-06;Must;TalentAI,EPIC-06,DXC Talent AI,Sprint 4,New,BR-04
User Story,US-022: Package certification tests and bundled candidate profiles for response packages,"As a tender/tender contributor / Account Lead, I want to assemble a response package for a curated list of candidates that bundles their profiles together with certification tests, so that I can deliver a coherent set of profiles and supporting evidence to the client or internal stakeholders in a single artifact.","- When multiple candidates are selected and a test package is requested, the system generates a consolidated set of evidence files for those candidates.
- From any search or shortlist, candidates can be added to a named response package.
- Each package records: opportunity name, creation date, creator, and the list of selected candidates with their key attributes.
- Packages are saved and can be retrieved, edited, or duplicated.
- A response package can be exported using US-013 (PDF/PPTX/Excel/CSV).",1,5,Certifications;Package;ResponsePackage;Bundle;EPIC-06;Must;TalentAI,EPIC-06,DXC Talent AI,Sprint 4,New,BR-04
Epic,EPIC-07: Manager Dashboards (People Analytics),"Dashboards and reports summarizing certifications, skills, languages, and EQF/MECES levels across the population for strategic planning.",,1,,Dashboard;Analytics;TalentAI,EPIC-07,DXC Talent AI,Sprint 5,New,BR-05
User Story,"US-023: Dashboard with certifications, skills, languages summary and RFI coverage heat map","As a Manager / Pre-Sales Lead, I want a dashboard that summarizes certifications, skills, and languages across the population (e.g., Iberia), and a heat map comparing the skills required by an RFI against the skills available in the bench, so I can understand capacity coverage and gaps and instantly see which RFI requirements are well-covered and which are at risk.","- In the population panel, I can filter and see aggregated views by certifications/skills/languages.
- Given an RFI with a defined skills/certification requirement list, the system generates a heat map where each cell represents a required skill and its coverage level across the bench (green = fully covered, amber = partially covered, red = not covered).
- The heat map updates in real time as candidates are added to or removed from the bench scope.
- The heat map is exportable as part of the response package (US-022).",1,8,Dashboard;Analytics;HeatMap;SkillsCoverage;RFI;EPIC-07;Must;TalentAI,EPIC-07,DXC Talent AI,Sprint 5,New,BR-05
User Story,US-024: My Team dashboard restricted to manager's team,"As a Manager, I want a 'My Team' dashboard restricted to my team members, so I can monitor preparation without accessing data beyond my reach.","- When I open My Team, only employees in my management scope appear.",1,3,Dashboard;MyTeam;EPIC-07;Must;TalentAI,EPIC-07,DXC Talent AI,Sprint 5,New,BR-05
User Story,US-025: Analyze full certifications and competencies from dashboard,"As a manager, I want to navigate from dashboards to an employee's profile to see all certifications and competencies, so I can make informed decisions.","- When selecting an employee from a dashboard, I can see their full list of certifications and competencies.",1,2,Dashboard;Profile;EPIC-07;Must;TalentAI,EPIC-07,DXC Talent AI,Sprint 5,New,BR-05
User Story,US-026: Visual indicators for CV freshness and certification status,"As a Manager, I want visual indicators (icons) that show the freshness of the CV and the status of the certification, so I can quickly identify who needs action.",- CV freshness and certification status are represented by clear indicators in dashboard rows.,1,2,Dashboard;Indicators;EPIC-07;Must;TalentAI,EPIC-07,DXC Talent AI,Sprint 5,New,BR-05
User Story,US-027: Access reports from dashboard,"As a Manager, I want access to reports for aggregated statistics useful for strategic planning.","- Within the interface, there is access to reports for profiles with permissions enabled.",1,3,Reports;Dashboard;EPIC-07;Must;TalentAI,EPIC-07,DXC Talent AI,Sprint 5,New,BR-05
User Story,US-028: Review skills and certifications baseline for My Team,"As a Manager, I want to know specific skills or certifications within my team and maintain my knowledge baseline.","- In the My Team panel, I can review and select baseline limits for certifications and knowledge at any time.",1,2,Dashboard;Baseline;EPIC-07;Must;TalentAI,EPIC-07,DXC Talent AI,Sprint 5,New,BR-05
Epic,EPIC-08: Automation and Notifications,Automatic reminder campaigns for CV updates and certification renewals with full audit trail.,,1,,Automation;Notifications;TalentAI,EPIC-08,DXC Talent AI,Sprint 5,New,BR-06
User Story,US-029: Trigger automatic CV update reminder campaigns,"As a Manager, I want to trigger automatic reminder campaigns to update the resume, so that employees keep their resumes updated without manual HR campaigns.","- When a CV freshness threshold is set and a CV refresh campaign is started, only employees exceeding that threshold are notified.",1,3,Automation;Notifications;EPIC-08;Must;TalentAI,EPIC-08,DXC Talent AI,Sprint 5,New,BR-06
User Story,US-030: Trigger reminders for expired/upcoming certifications,"As a Manager, I want to trigger reminders for expired and upcoming certifications for employees to renew certifications needed for tenders.","- When an expiration campaign is started, only employees with expired certifications receive notifications.",1,2,Certifications;Notifications;EPIC-08;Must;TalentAI,EPIC-08,DXC Talent AI,Sprint 5,New,BR-06
User Story,US-031: Audit trail of reminder campaigns,"As a Manager/Product Owner, I want an audit trail of reminder campaigns, so I can track who was notified and when.","- In the notification history, I can see the date/time, target group size, and recipients (as allowed by policy).",1,2,Audit;Notifications;EPIC-08;Must;TalentAI,EPIC-08,DXC Talent AI,Sprint 5,New,BR-06
Epic,EPIC-09: Receiving Bids and Extracting Roles (Future),Upload tender documents and automatically extract required roles/profiles to accelerate candidate searches.,,2,,Bids;Future;TalentAI,EPIC-09,DXC Talent AI,Sprint 7,New,BR-08
User Story,US-032: Upload tender document and extract required roles,"As a tender contributor, I want to upload or paste a tender document and have the system extract the required roles/profiles, so that I can start candidate searches faster.","- When a tender document is provided and extraction is run, the system generates a structured list of key roles and constraints.",2,5,Bids;Extraction;EPIC-09;Should;TalentAI,EPIC-09,DXC Talent AI,Sprint 7,New,BR-08
User Story,US-033: Pre-populate candidate search positions from extracted roles,"As a tender contributor, I want the extracted roles to pre-populate the candidate search positions, so that I don't need to re-enter requirements manually.","- When clicking Create Searches from extracted roles, the system creates positions with pre-populated filters/criteria.",2,3,Bids;Positions;EPIC-09;Should;TalentAI,EPIC-09,DXC Talent AI,Sprint 7,New,BR-08
User Story,US-034: Generate standardized CV in DXC format (Bids),"As a tender contributor, I want to generate a standardized CV in DXC format for a selected candidate to include it in the tender responses.","- Clicking Generate Resume produces a resume following the approved template.
- After generation, I can download the document.",1,3,CV;Bids;EPIC-09;Must;TalentAI,EPIC-09,DXC Talent AI,Sprint 7,New,BR-08
User Story,US-035: Mass generate standardized CVs (Bids),"As a tender contributor, I want to generate standardized CVs en masse for several selected candidates to prepare tender packages efficiently.","- When multiple candidates are selected and Generate CVs is clicked, the system produces CVs for each.",2,3,CV;MassGeneration;Bids;EPIC-09;Should;TalentAI,EPIC-09,DXC Talent AI,Sprint 7,New,BR-08
User Story,US-036: Generate anonymized CV for bid requirements,"As a Tender collaborator, I want to generate an anonymized CV when required by a tender to meet client requirements.","- When anonymization is required, the CV has personal identifiers removed or hidden according to agreed rules.",2,2,CV;Anonymized;Bids;EPIC-09;Should;TalentAI,EPIC-09,DXC Talent AI,Sprint 7,New,BR-08
Epic,"EPIC-10: Privacy, Access Control and Compliance",Role-based access control and DPIA-compliant data flows for all sensitive employee data.,,1,,Privacy;Security;TalentAI,EPIC-10,DXC Talent AI,Sprint 1,New,BR-09
User Story,US-037: Role-based access control for CV and certification data,"As a Security/Privacy stakeholder, I want role-based access control for CV content and certification evidence, so that sensitive employee data is only visible to authorized users.","- When a user without permission tries to access CVs or tests, access is denied and logged.",1,3,Security;RBAC;EPIC-10;Must;TalentAI,EPIC-10,DXC Talent AI,Sprint 1,New,BR-09
User Story,US-038: DPIA/privacy compliance controls,"As a privacy stakeholder, I want the solution to operate under DPIA/approved privacy controls, so that the processing of employee data remains compliant.","- When the solution is deployed, the data flows match the approved DPIA controls and access is auditable.",1,3,Privacy;DPIA;EPIC-10;Must;TalentAI,EPIC-10,DXC Talent AI,Sprint 1,New,BR-09
Epic,EPIC-11: Soft Hold – Optional,Soft hold/pause candidates for specific deals or projects with transparent history.,,3,,SoftHold;Optional;TalentAI,EPIC-11,DXC Talent AI,Backlog,New,BR-10
User Story,US-039: Soft hold candidate for a specific deal or project with configurable auto-expiry,"As an Account/Delivery Manager, I want to put a 'soft pause' on a candidate for a specific deal or project, with an auto-expiry period so that candidates are not indefinitely reserved when a deal does not progress, so that coordination of personnel is clearer and the bench remains accurate.","- When I place a soft booking (with permission), the candidate appears as reserved with who/when/why metadata.
- When placing a soft hold, the user can set an expiry duration (default configurable by admin; e.g. 30 days).
- When the expiry date is reached, the soft hold is automatically released and the candidate becomes available again.
- The candidate's manager and the hold owner are notified 48 hours before auto-expiry.
- Auto-expiry events are recorded in the soft-hold history (US-040).",3,3,SoftHold;AutoExpiry;Configurable;EPIC-11;Could;TalentAI,EPIC-11,DXC Talent AI,Backlog,New,BR-10
User Story,US-040: Release soft hold and keep history,"As an Account/Delivery Manager, I want to release a soft reserve and keep a history, so that changes are transparent.","- When a soft hold is released, the hold is removed and a history entry remains.",3,1,SoftHold;EPIC-11;Could;TalentAI,EPIC-11,DXC Talent AI,Backlog,New,BR-10
Epic,EPIC-12: Skills Enrichment – Optional,Infer skills from project/role assignments and optionally import from external profile references.,,3,,Skills;Enrichment;Optional;TalentAI,EPIC-12,DXC Talent AI,Backlog,New,BR-11
User Story,US-041: Infer skills from project/role assignments,"As a Boss, I want the system to infer skills from internal project/role assignments when available, so that employee profiles are enriched without manual intervention.","- When inference logic is enabled and an employee has a role assignment (e.g., Java developer), the skill is added as 'inferred' with its source.",3,3,Skills;Inference;EPIC-12;Could;TalentAI,EPIC-12,DXC Talent AI,Backlog,New,BR-11
User Story,US-042: Import skills from external profile reference,"As an employee, I want to optionally provide an external profile reference to import relevant details from the CV (subject to policy).","- When external import is enabled and I provide my profile reference, the imported items are clearly labeled and can be reviewed.",3,2,Skills;Import;EPIC-12;Could;TalentAI,EPIC-12,DXC Talent AI,Backlog,New,BR-11
Epic,EPIC-13: Quality / Level of Satisfaction (thumbs),Allow users to report feedback on application results via thumbs up/down reactions.,,1,,Feedback;Quality;TalentAI,EPIC-13,DXC Talent AI,Sprint 5,New,BR-12
User Story,US-043: Report feedback on application results (thumbs),"As a user, I must be able to report if the result obtained from the application is satisfactory or should improve, and be able to communicate it in the moment.","- Thumbs up/down icons are available on search results.
- Feedback is captured and accessible for product improvement.",1,1,Feedback;Quality;EPIC-13;Must;TalentAI,EPIC-13,DXC Talent AI,Sprint 5,New,BR-12
Epic,EPIC-14: FAQs and Grants,"In-app help section with FAQs, multilingual user guide for download, and keyword search functionality.",,1,,Help;FAQ;TalentAI,EPIC-14,DXC Talent AI,Sprint 6,New,BR-13
User Story,US-044: Help and FAQs section,"As a Manager/Account Lead, I need help in the use and interaction of the tool, as well as knowing its functionalities and scope.","- The Help and FAQs section is accessible in the interface.
- A user guide is available in several languages with download option.
- A keyword search engine is available for tool information.",1,2,Help;FAQ;EPIC-14;Must;TalentAI,EPIC-14,DXC Talent AI,Sprint 6,New,BR-13
Epic,EPIC-15: Query History,"Store and display per-user query history organized by date, allowing reuse and review of previous searches.",,1,,History;TalentAI,EPIC-15,DXC Talent AI,Sprint 4,New,BR-14
User Story,US-045: Query history and relaunch previous searches,"As a Manager/Account Lead, I need to review my previous searches and be able to relaunch them again.","- In the interface menu, a history by user organized by dates shows all previous queries and results for easy reuse.",1,2,History;Search;EPIC-15;Must;TalentAI,EPIC-15,DXC Talent AI,Sprint 4,New,BR-14
Epic,EPIC-16: Usability Language,"Multilanguage support across the full interface: Spanish, English, French and Portuguese.",,1,,Language;Usability;TalentAI,EPIC-16,DXC Talent AI,Sprint 2,New,BR-15
User Story,"US-046: Multilanguage support (ES, EN, FR, PT)","As a Manager/Account Lead, I want to interact with the tool and get results in Spanish, English, French and Portuguese.","- The tool, results, help, manuals and FAQs can be displayed in any of the 4 languages by selecting the preferred language in the interface.",1,2,Language;Usability;EPIC-16;Must;TalentAI,EPIC-16,DXC Talent AI,Sprint 2,New,BR-15
Epic,EPIC-17: CPQ Pre-Sales Talent Preview,"Integration with CPQ to auto-detect RFI/NSSR pre-sales requests, trigger talent previews, manage the pre-sales bench search, and support the handoff to staffing when a deal progresses.",,1,,CPQ;PreSales;TalentPreview;TalentAI,EPIC-17,DXC Talent AI,Backlog,New,BR-CPQ
User Story,US-047: CPQ RFI/NSSR type detection — auto-identify pre-sales talent requests,"As a Pre-Sales Lead, I want the system to automatically identify when a CPQ opportunity is of type RFI or NSSR, so that the platform can determine whether a talent preview is required without manual classification.","- When a CPQ opportunity record is received, the system reads its type field and classifies it as RFI, NSSR, or other.
- Only opportunities classified as RFI or NSSR trigger the pre-sales talent preview workflow.
- The classification result is logged and visible in the opportunity detail view.",1,3,CPQ;RFI;NSSR;Detection;EPIC-17;Must;TalentAI,EPIC-17,DXC Talent AI,Backlog,New,BR-CPQ
User Story,US-048: Auto-trigger talent preview on qualifying RFI/NSSR,"As a Pre-Sales Lead, I want the platform to automatically initiate a talent preview when a qualifying RFI or NSSR opportunity is detected in CPQ, so that account teams receive candidate proposals without waiting for a manual search.","- When an opportunity is classified as RFI or NSSR, the system automatically initiates a talent preview session linked to that opportunity.
- The account team is notified that a talent preview has been triggered.
- The auto-triggered preview is traceable to the originating CPQ opportunity ID.",1,5,CPQ;AutoTrigger;TalentPreview;EPIC-17;Must;TalentAI,EPIC-17,DXC Talent AI,Backlog,New,BR-CPQ
User Story,US-049: Auto-convert talent preview to Resource Request on deal progression to Stage 4B,"As a Pre-Sales Lead, I want the system to automatically convert an active talent preview into a Resource Request when the associated CPQ deal progresses to Stage 4B, so that pre-sales candidate selections carry forward into the staffing process without duplication.","- When a CPQ opportunity linked to a talent preview reaches Stage 4B, the system creates a Resource Request populated with the selected talent preview candidates.
- The account team is notified of the automatic conversion.
- The original talent preview record remains accessible and is linked to the new Resource Request.",1,5,CPQ;Stage4B;ResourceRequest;AutoConvert;EPIC-17;Must;TalentAI,EPIC-17,DXC Talent AI,Backlog,New,BR-CPQ
User Story,US-050: Pre-sales to staffing handoff — carry forward talent selections,"As a Staffing Manager, I want to receive the candidate selections made during the pre-sales talent preview when a deal is handed off to staffing, so that I do not have to repeat the bench search from scratch.","- When a talent preview is converted to a Resource Request (manually or automatically), all candidate selections and their preview metadata are included in the handoff record.
- The staffing team can accept, replace, or add to the carried-forward candidates.
- The handoff date, originating pre-sales owner, and CPQ opportunity ID are recorded on the Resource Request.",1,3,Handoff;PreSales;Staffing;EPIC-17;Must;TalentAI,EPIC-17,DXC Talent AI,Backlog,New,BR-CPQ
User Story,"US-051: Talent preview audit trail — who was proposed, when, for which RFI","As a Pre-Sales Lead / Compliance Officer, I want a full audit trail of every talent preview, recording which candidates were proposed, by whom, and for which RFI/NSSR opportunity, so that pre-sales activity is traceable and accountable.","- Every talent preview session records: opportunity ID, RFI/NSSR type, user who ran the preview, date/time, and the list of candidates proposed.
- The audit trail is immutable and accessible to authorized users.
- The audit trail is exportable for compliance reviews.",1,3,AuditTrail;TalentPreview;Compliance;EPIC-17;Must;TalentAI,EPIC-17,DXC Talent AI,Backlog,New,BR-CPQ
User Story,US-052: Talent preview analytics — response time and win rate impact,"As a Pre-Sales Director, I want dashboards showing talent preview response time and correlation with deal win rate, so that I can measure the business impact of the pre-sales talent process and identify improvement areas.","- A talent preview analytics dashboard shows: average time from RFI detection to preview delivery, number of previews per period, and win rate for deals where a talent preview was provided vs not provided.
- Data can be filtered by account, offering, and time period.
- The dashboard is accessible to users with the Pre-Sales Director or Analytics role.",2,5,Analytics;TalentPreview;WinRate;EPIC-17;Should;TalentAI,EPIC-17,DXC Talent AI,Backlog,New,BR-CPQ
